"Date and Time,""Merchant ID"",""Merchant Name"",""Transaction Type"",""Payment Channel"",""Ayolinx Transaction ID"",""Partner Refference Number"",""Transaction Amount"",""Admin Fee"",""VAT Type"",VAT(11%),""Transaction Settled"",""Transaction Status"",""Settlement Status"",""Merchant Transaction ID"",""Merchant Refference Number"",""Shop ID"",""Settlement Type"",""Create Time"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",8e172b396c3740dd92e200f03a517366,019420542602,105000.00000000,662.20000000,Include,72.800000,104265,Success,Settled,PAYIN45443408564597970095646196,kjKeSJTgHx3WU9wiqYZ4QPRa8zvNrXyd2oAbMsnDmFfC5pGh6ucEV4WQMa45KFEk,,Sameday,""2026-06-08 00:00:02"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",ad64f8b4dba849318d7a166a609ddcea,001237188351,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443426071622867605388265,MGHe6bCF9AEDzs8arjQLcoqXYnwph3dU7uBKZNy2JxWTmf4SRVvk54WQMa4d77NH,,Sameday,""2026-06-08 00:00:02"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",d058a236190b4c3ea6eaa39671165e4b,1p84b5v92336,15000.00000000,94.60000000,Include,10.400000,14895,Success,Settled,PAYIN45443391552500952036646024,pS732YjDFgZfTQXzEcBtrCHJ5GW9kK8neUvhPyLMdbuNRma4s6iwq4WQMa4f6LtC,,Sameday,""2026-06-08 00:00:02"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",17cb66948a544338b74899cacad65b4b,010000HY04M4,150000.00000000,945.90000000,Include,104.100000,148950,Success,Settled,PAYIN45443423600758376938157328,aCzq5cT6LwMKgDVJStW8hsuk27f94YjQpmGPZ3NHdnBXreyAFvxob4WQMa4xBENL,,Sameday,""2026-06-08 00:00:02"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",d83dee474e974f908b1f1c07a34c388c,019372112863,500000.00000000,3153.20000000,Include,346.800000,496500,Success,Settled,PAYIN45443400328662632066901830,TPzJ7sMgxE8XQNeZfFn6WBRumraHo25GShpAtyCbdLvjiqUYVD4kw4WQMa6EsryD,,Sameday,""2026-06-08 00:00:02"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",2ac038c80d014d7093fdbc6625058640,1p84b0p30721,15000.00000000,94.60000000,Include,10.400000,14895,Success,Settled,PAYIN45443398888758070916489977,6HU3Zdje4fKr5VRJgTNyukwzbaD8noMtQhcECSsWGvBAxp9YPLX2i4WQMa7QF8xp,,Sameday,""2026-06-08 00:00:03"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",5f4a4bb26d6b4555bd8d5dd3e2dcbb18,1p84b0i79243,18000.00000000,113.50000000,Include,12.500000,17874,Success,Settled,PAYIN45443403470615765119627486,VD4cqiJMaPexbuERnCmYtSovfAw8Q9pW5XydK6BF2khTgsjUNZLHr4WQMa7wdLZp,,Sameday,""2026-06-08 00:00:03"""
"08-06-2026 00:00:02,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",a0c1e718222e4051b48c4d16849aa7dc,29cf03fd2382,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443430505841057259033588,eKRrA6E2xcsTuPavXhgfDLknzNWtM8CHod45yjYFiJpQm73bUVqwS4WQMa86aKZw,,Sameday,""2026-06-08 00:00:03"""
"08-06-2026 00:00:03,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",76dcfebecbe748e98b926c9447755783,1p84b0o56571,40000.00000000,252.30000000,Include,27.700000,39720,Success,Settled,PAYIN45443418861194863013791148,CnyJrBAXuMHN2wg74QzEq3oPmefLVY9itFdRx5KcpbGDvsjSWkZT84WQMa8jXb6s,,Sameday,""2026-06-08 00:00:03"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",f3335768c34d46f6b8be414ecf72627b,1p84b0w13794,100000.00000000,630.60000000,Include,69.400000,99300,Success,Settled,PAYIN45443415860589775469549293,9KHAGiSx5jNVdpRhqf2P4Mn6awU7TJ3mcDtQFrEzZ8CeLBogkyuvY4WQMaPVJNYw,,Sameday,""2026-06-08 00:00:05"""
